score, date, balloon_id
42, 18.07.24, 0
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
22, 18.07.24, 6
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
42, 18.07.24, 0
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
22, 18.07.24, 6
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
42, 18.07.24, 0
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
22, 18.07.24, 6
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
42, 18.07.24, 0
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
23, 09.05.24, 8
22, 18.07.24, 6
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
10, 09.05.24, 11
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
9, 09.05.24, 6
